page,startDate,endDate,name,url,addressCountry,addressLocality,addressRegion,streetAddress,postalCode,latitude,longitude,locationName,id
45,2023-06-23,2023-06-23,Poly Speed Dating,https://www.eventbrite.com/e/poly-speed-dating-tickets-645311342597,DE,Berlin,BE,Gustav-Adolf-Straße 15,13086,52.5533845,13.4344582,Embodiment Center,645311342597
45,2023-07-06,2023-07-06,"Weinhopping PLUS Berlin, 06.07.2023",https://www.eventbrite.de/e/weinhopping-plus-berlin-06072023-tickets-516573855307,DE,Berlin,BE,Die genauen Locations werden per E-Mail mitgeteilt,10119,52.530741,13.4058114,Berlin,516573855307
45,2023-06-18,2023-06-18,Artist Talk#4 Christoph Kühl,https://www.eventbrite.de/e/artist-talk4-christoph-kuhl-tickets-646828500457,DE,Berlin,BE,Lehderstraße 74,13086,52.55074999999999,13.43624,Kühlspot Social Club,646828500457
45,2023-06-11,2023-06-11,Soap Making Workshop: Rose Soap,https://www.eventbrite.com/e/soap-making-workshop-rose-soap-tickets-640431055527,DE,Berlin,BE,Volkmarstraße 1,12099,52.4544593,13.3986447,Volkmarstraße 1,640431055527
45,2023-06-10,2023-06-11,"TRI:CEPTION (Psytrance, Techno, House) - 3 floors",https://www.eventbrite.de/e/triception-psytrance-techno-house-3-floors-tickets-643885668367,DE,Berlin,BE,Wiesenweg 5-9,10365,52.5074193,13.4763583,VOID Club & Hall,643885668367
45,2023-06-12,2023-06-13,HINNI & FRIENDS,https://www.eventbrite.de/e/hinni-friends-tickets-643629732857,DE,Berlin,BE,Müggelstraße 9,10247,52.51201479999999,13.470691,Bar Bobu,643629732857
45,2023-06-07,2023-06-07,Immersive Veranstaltungstechnik (Steinberg Nuendo),https://www.eventbrite.de/e/immersive-veranstaltungstechnik-steinberg-nuendo-registrierung-634759100557,DE,Berlin,,Lützowstraße 102-104,10785,52.5019573,13.3684692,Audiowerk Berlin,634759100557
45,2023-06-24,2023-06-24,Weekend Monkeys Comedy,https://www.eventbrite.de/e/weekend-monkeys-comedy-tickets-647924197717,DE,Berlin,Berlin,Danziger Str. 1,10435,52.54172089999999,13.4121977,Mad Monkey Room,647924197717
45,2023-06-16,2023-06-17,GlogauAIR OPEN STUDIOS // 16-17 June 2023,https://www.eventbrite.com/e/glogauair-open-studios-16-17-june-2023-tickets-648056553597,DE,Berlin,BE,Glogauer Straße 16,10999,52.4922613,13.4359253,GlogauAir gGmbH,648056553597
45,2023-06-17,2023-06-17,networkx x POLO & Lifestyle Awards/ Day 2 German Low Goal Polo Championship,https://www.eventbrite.co.uk/e/networkx-x-polo-lifestyle-awards-day-2-german-low-goal-polo-championship-tickets-642794695237,DE,Dallgow-Döberitz,BB,Seeburger Chaussee 1,14624,52.5162725,13.1151681,Dallgow-Döberitz,642794695237
45,2023-07-01,2023-07-01,A conversation with K.I.T.T.: GPT Prompting Hackathon,https://www.eventbrite.de/e/a-conversation-with-kitt-gpt-prompting-hackathon-tickets-643104100677,DE,Berlin,,Mariendorfer Damm 1,12099,52.45360789999999,13.384797100000014,The Drivery,643104100677
45,2023-07-05,2023-07-06,Aftershow Party Ostrom Humboldt Oberschule 2023,https://www.eventbrite.de/e/aftershow-party-ostrom-humboldt-oberschule-2023-tickets-635287862097,DE,Berlin,Berlin,Columbiadamm 13-21,10965,52.48464999999999,13.39221,Columbiahalle,635287862097
45,2023-07-05,2023-07-06,Aftershow Party Marie Curie Gymnasium Hohen Neuendorf 2023,https://www.eventbrite.de/e/aftershow-party-marie-curie-gymnasium-hohen-neuendorf-2023-tickets-639356942827,DE,Berlin,Berlin,Wiebestr. 42,10553,52.52798,13.31894,Loewe Saal,639356942827
45,2023-06-23,2023-06-23,Social Insurance in Germany,https://www.eventbrite.com/e/social-insurance-in-germany-tickets-615572292297,DE,Berlin,BE,Mariannenplatz 2,10997,52.50389980000001,13.4242629,Kunstquartier Bethanien,615572292297
45,2023-06-25,2023-06-25,"*SPECIAL* Stand-up Comedy • F-Hain • 20 Uhr | ""Und...Bitte!""",https://www.eventbrite.de/e/special-stand-up-comedy-f-hain-20-uhr-undbitte-tickets-648781301337,DE,Berlin,Berlin,Grünberger Straße 84,10245,52.51094,13.4613273,The Wall Comedy,648781301337
